parameterization_id,ART Link Max,ART Link Mid,Base Infectivity,Infmrl Form Rate,Infrml Condom Mid,Infrml Condom Rate,Mrtl Condom Max,Mrtl Condom Mid,Mrtl Condom Rate,Mrtl Form Rate,PreART Link Max,PreART Link Mid,PreART Link Min,SeedYr HIGH,Sexual Debut Age Female Weibull Heterogeneity,Sexual Debut Age Female Weibull Scale,Sexual Debut Age Male Weibull Heterogeneity,Sexual Debut Age Male Weibull Scale,Swaziland: Infmrl Condoms Late,Swaziland: LOW Risk,Swaziland: Trns Condoms Late,Trns Condom Mid,Trns Condom Rate,Trns Form Rate,Male To Female Young,Male To Female Old,iteration_number,run_number,sim_id,likelihood
96,0.950545549,2010.547706,0.002334377,0.001434068,1992.710502,2.75841586,0.208163467,2002.441216,2.345229295,0.000560903,0.843885082,1995.725146,0.000154126,1982.534845,0.329858249,16.04877176,0.04,17.54947282,0.321687123,0.716938877,0.107876523,1996.716735,3.038249109,0.000136986,4.868256555,2.911333594,,62614,,1
97,0.95357205,2010.121712,0.002345759,0.00163743,1992.6393,3.108931738,0.219265226,2001.614051,2.807110435,0.00049409,0.828132897,1995.366651,0.059716833,1983.256519,0.3362343,16.30845895,0.050297011,17.24938986,0.334331939,0.732572106,0.136519493,1997.967899,3.105913828,0.000136986,4.835271535,2.773021972,,41143,,1
98,0.950329509,2009.994513,0.002317467,0.001343666,1992.599382,2.984484577,0.208178046,2002.090182,2.415285191,0.000473393,0.822358767,1996.748672,0.031183895,1982.272033,0.322411075,16.81135943,0.058122359,17.12600723,0.331138753,0.753229753,0.069069348,1996.958004,2.906862654,0.000136986,4.873489304,2.751287657,,61225,,1
99,0.954669162,2010.644805,0.002342484,0.001696343,1993.195547,2.84445624,0.193983797,2002.592124,2.529603943,0.000577468,0.790530428,1995.344923,0,1982.839765,0.339129629,16.49890583,0.048705476,16.97402782,0.301377985,0.734996197,0.102791681,1995.953528,3.031162397,0.000148457,4.69071613,2.616081242,,61688,,1
100,0.954428255,2010.567055,0.002320371,0.00142644,1992.14474,3.076155418,0.204244576,2001.510752,2.461125264,0.000481226,0.799800918,1995.189932,0.011305831,1982.439656,0.322699535,16.39640513,0.046411759,17.53859362,0.324200676,0.737617906,0.10220258,1996.856644,3.117529844,0.000136986,4.814355418,3.049916815,,4230,,1
101,0.940441809,2011,0.002314433,0.001250649,1990.898174,2.823501886,0.226834066,2002.088567,2.201897264,0.000371354,0.809146222,1999.180917,0,1983.065651,0.278725534,16.03890469,0.048823811,17.6683146,0.289966185,0.699486441,0.11965633,1995.330956,3.077448751,0.000136986,5.561521498,2.511459091,,14332,,1
102,0.953969287,2011,0.002298981,0.001252775,1991.963987,3.286643908,0.184136214,2003.302128,2.137954092,0.000449917,0.865089169,1994.324027,0,1983.507924,0.307745335,16.51531042,0.04,17.02400476,0.354483783,0.761777283,0.137096435,1997.160127,2.726963763,0.000136986,4.688590161,2.726860005,,339,,1
103,0.954184112,2009.204321,0.00235,0.001240539,1993.217077,2.907952414,0.296183454,2000.335343,2.250621409,0.000447711,0.854941104,1996.769277,0.068309749,1982.971283,0.302999755,16.17158185,0.067074463,16.87239148,0.316713649,0.759003913,0.010619824,1994.254301,2.60246896,0.000136986,5.046058929,2.545500248,,9227,,1
104,0.945062332,2010.345922,0.00235,0.001458995,1992.739112,3.11130766,0.251579242,2002.041965,2.729126724,0.000448961,0.853198135,1995.795716,0,1983.959066,0.262189327,15.64767183,0.04154846,17.60118662,0.335152319,0.754677928,0.023073988,1997.51585,3.476309557,0.000136986,5.811493544,2.758046672,,19784,,1
105,0.953261553,2011,0.00235,0.001473345,1992.678308,3.083333662,0.229884061,2001.716427,2.229284882,0.000499622,0.771185641,1995.92013,0,1982.816928,0.303557541,16.34445139,0.04,16.82568353,0.3413886,0.722171882,0.111501728,1995.972607,2.851402934,0.000136986,5.089423078,2.863232896,,1195,,1
